Step,Energy,RMS,GMAX,Atom,Atom_Number
13500,-319120.0,0.031214,2.1707,O,75700
13600,-319130.0,0.060205,4.6042,C3,523
13700,-319140.0,0.050234,3.9866,H2,54202
13800,-319150.0,0.2949,21.235,O,76732
13900,-319170.0,0.050227,6.3829,H2,33886
14000,-319180.0,0.022427,1.8926,O,76732
14100,-319180.0,0.016097,1.235,O,76732
14200,-319200.0,0.052199,5.1367,H1,66853
14300,-319210.0,0.03058,2.6996,H1,30341
14400,-319230.0,0.03875,3.5025,O,38636
14500,-319240.0,0.069008,6.1182,O,38636
14600,-319240.0,0.012668,1.097,H2,6922
14700,-319250.0,0.027923,2.359,O,6920
14800,-319260.0,0.062813,5.9292,O,6920
14900,-319270.0,0.023611,1.7154,H1,6921
15000,-319270.0,0.038408,4.2438,O,44404
15100,-319280.0,0.021497,1.7695,O,44404
15200,-319280.0,0.025233,1.4793,O,74888
15300,-319290.0,0.018323,1.6046,H1,6921
15400,-319300.0,0.044889,3.1243,H2,79118
15500,-319310.0,0.024136,1.9429,C3,361
15600,-319310.0,0.041595,2.8241,H1,6921
15700,-319320.0,0.012941,1.097,H1,23569
15800,-319330.0,0.057282,5.2444,H1,23425
15900,-319340.0,0.051357,4.1329,H1,23569
16000,-319350.0,0.017662,0.9242,N9,210
16100,-319350.0,0.020892,2.3807,C3,361
16200,-319360.0,0.040351,3.8141,H2,82134
16300,-319360.0,0.034387,3.705,C4,362
16400,-319370.0,0.068961,7.9244,H1,82257
16500,-319380.0,0.041769,3.6312,O,72516
16600,-319380.0,0.013856,1.3665,O,72516
16700,-319380.0,0.0092733,0.62395,O8,44
16800,-319390.0,0.03957,3.3511,H2,82258
16900,-319400.0,0.043412,3.1995,O,40020
17000,-319420.0,0.023195,1.6574,O,22972
17100,-319430.0,0.13743,20.97,H2,24386
17200,-319430.0,0.070436,5.4741,C23,82
17300,-319450.0,0.025141,3.4235,O,22972
17400,-319460.0,0.032987,3.1566,O,20568
17500,-319470.0,0.11293,26.99,H1,32477
17600,-319480.0,0.15302,18.206,O,15436
17700,-319490.0,0.022516,1.4182,N3,84
17800,-319490.0,0.027734,2.4442,O,2452
17900,-319500.0,0.018222,1.6163,H1,56369
18000,-319500.0,0.034126,2.9539,O,15600
18100,-319500.0,0.0098688,0.8588,H1,56369
18200,-319500.0,0.023325,2.013,C40,141
18300,-319510.0,0.012244,1.945,C40,141
18400,-319510.0,0.0091697,1.0734,C40,141
18500,-319510.0,0.028533,4.1341,C40,141
18600,-319510.0,0.0062159,0.75823,H2,20966
18700,-319510.0,0.020441,1.9906,C58,204
18800,-319520.0,0.051415,3.5975,H98,207
18900,-319530.0,0.0175,1.3915,H99,209
19000,-319540.0,0.044083,4.4198,C59,208
19100,-319540.0,0.066779,11.623,O,49612
19200,-319550.0,0.02375,1.6728,O39,206
19300,-319550.0,0.026867,3.2699,H2,59762
19400,-319560.0,0.14615,13.418,C50,176
19500,-319570.0,0.016828,1.7787,H1,82805
19600,-319570.0,0.055811,3.9337,H2,18022
19700,-319580.0,0.01191,1.0045,O,82440
19800,-319580.0,0.05221,8.5389,H2,70174
19900,-319590.0,0.088458,16.071,H2,80326
19948,-319590.0,0.02293,4.0555,H1,80325
